"","influenza_rad"
"350",3.91952789699571
"351",4.18776824034335
"352",4.61123032904149
"353",3.78719599427754
"354",4.07331902718169
"355",3.74499284692418
"356",3.34370529327611
"357",3.87231759656652
"358",3.84585121602289
"359",4.12982832618026
"360",3.4846208869814
"361",3.67489270386266
"362",3.30579399141631
"363",4.10979971387697
"364",3.30579399141631
"365",3.70994277539342
"366",3.81437768240343
"367",4.07618025751073
"368",4.05901287553648
"369",3.30579399141631
"370",3.83798283261803
"371",3.92095851216023
"372",3.09907010014306
"373",3.09907010014306
"374",2.90092989985694
"375",2.90092989985694
"376",2.90092989985694
"377",2.90092989985694
"378",2.90092989985694
"379",4.25572246065808
"380",3.29291845493562
"381",3.29291845493562
"382",3.14628040057225
"383",3.24356223175966
"384",3.24356223175966
"385",2.90092989985694
"386",2.90092989985694
"387",3.57260371959943
"388",3.21638054363376
"389",4.20207439198856
"390",4.07260371959943
"391",3.38590844062947
"392",4.01466380543634
"393",3.21638054363376
"394",3.34370529327611
"395",3.34370529327611
"396",3.41523605150215
"397",3.74785407725322
"398",3.72567954220315
"399",3.30579399141631
"400",3.82296137339056
"401",3.30579399141631
"402",3.46030042918455
"403",3.72424892703863
"404",3.40307582260372
"405",3.34298998569385
"406",3.42525035765379
"407",3.06545064377682
"408",3.18633762517883
"409",3.18633762517883
"410",3.18633762517883
"411",4.17131616595136
"412",3.42095851216023
"413",3.93240343347639
"414",3.86659513590844
"415",3.44241773962804
"416",3.44241773962804
"417",3.44241773962804
"418",3.44241773962804
"419",3.44241773962804
"420",3.44241773962804
"421",4.01824034334764
"422",3.44241773962804
"423",3.44241773962804
"424",3.44241773962804
"425",3.44241773962804
"426",3.44241773962804
"427",3.44241773962804
"428",3.44241773962804
"429",3.44241773962804
"430",4.37660944206009
"431",3.44241773962804
"432",3.44241773962804
"433",3.44241773962804
"434",3.44241773962804
"435",3.44241773962804
"436",3.44241773962804
"437",3.44241773962804
"438",3.44241773962804
"439",3.44241773962804
"440",3.44241773962804
"441",3.44241773962804
"442",3.44241773962804
"443",3.44241773962804
"444",3.44241773962804
"445",3.44241773962804
"446",3.44241773962804
"447",3.44241773962804
"448",3.44241773962804
"449",3.44241773962804
"450",3.44241773962804
"451",3.44241773962804
"452",3.44241773962804
"453",3.44241773962804
"454",3.44241773962804
"455",3.44241773962804
"456",3.44241773962804
"457",3.44241773962804
"458",3.44241773962804
"459",3.44241773962804
"460",3.44241773962804
"461",4.53183118741059
"462",3.44241773962804
"463",4.02110157367668
"464",4.30722460658083
"465",4.05758226037196
"466",3.76788268955651
"467",4.21065808297568
"468",3.8980686695279
"469",3.44241773962804
"470",3.44241773962804
"471",4.08619456366237
"472",3.44241773962804
"473",3.44241773962804
"474",3.48962804005722
"475",4.1255364806867
"476",4.07618025751073
"477",4.07260371959943
"478",3.44241773962804
"479",3.44241773962804
"480",3.44241773962804
"481",3.44241773962804
"482",3.44241773962804
"483",3.52825464949928
"484",4.30293276108727
"485",4.20779685264664
"486",3.44241773962804
"487",3.44241773962804
"488",3.44241773962804
"489",3.44241773962804
"490",3.44241773962804
"491",3.44241773962804
"492",3.44241773962804
"493",3.44241773962804
"494",3.44241773962804
"495",3.44241773962804
"496",3.44241773962804
"497",3.44241773962804
"498",3.44241773962804
"499",3.44241773962804
"500",3.44241773962804
"501",3.44241773962804
"502",3.44241773962804
