"","corona_res"
"1237",165.53125
"1238",165.53125
"1239",165.53125
"1240",165.53125
"1241",165.53125
"1242",165.53125
"1243",165.53125
"1244",165.53125
"1245",165.53125
"1246",165.53125
"1247",165.53125
"1248",165.53125
"1249",165.53125
"1250",165.53125
"1251",165.53125
"1252",165.53125
"1253",165.53125
"1254",165.53125
"1255",165.53125
"1256",165.53125
"1257",165.53125
"1258",165.53125
"1259",165.53125
"1260",165.53125
"1261",165.53125
"1262",165.53125
"1263",165.53125
"1264",165.53125
"1265",165.53125
"1266",165.53125
"1267",165.53125
"1268",165.53125
"1269",165.53125
"1270",165.53125
"1271",165.53125
"1272",165.53125
"1273",165.53125
"1274",165.53125
"1275",165.53125
"1276",165.53125
"1277",165.53125
"1278",165.53125
"1279",165.53125
"1280",165.53125
"1281",165.53125
"1282",165.53125
"1283",165.53125
"1284",165.53125
"1285",165.53125
"1286",165.53125
"1287",165.53125
"1288",165.53125
"1289",165.53125
"1290",165.53125
"1291",165.53125
"1292",165.53125
"1293",165.53125
"1294",165.53125
"1295",165.53125
"1296",165.53125
"1297",165.53125
"1298",165.53125
"1299",165.53125
"1300",165.53125
"1301",165.53125
"1302",165.53125
"1303",165.53125
"1304",165.53125
"1305",165.53125
"1306",165.53125
"1307",165.53125
"1308",165.53125
"1309",165.53125
"1310",165.53125
"1311",165.53125
"1312",165.53125
"1313",165.53125
"1314",165.53125
"1315",165.53125
"1316",165.53125
"1317",165.53125
"1318",165.53125
"1319",165.53125
"1320",165.53125
"1321",165.53125
"1322",165.53125
"1323",165.53125
"1324",165.53125
"1325",165.53125
"1326",165.53125
"1327",165.53125
"1328",165.53125
"1329",165.53125
"1330",165.53125
"1331",165.53125
"1332",165.53125
"1333",165.53125
"1334",165.53125
"1335",165.53125
"1336",109.09375
"1337",109.09375
"1338",109.09375
"1339",109.09375
"1340",109.09375
"1341",109.09375
"1342",109.09375
"1343",109.09375
"1344",109.09375
"1345",109.09375
"1346",109.09375
"1347",109.09375
"1348",109.09375
"1349",109.09375
"1350",109.09375
"1351",109.09375
"1352",109.09375
"1353",109.09375
"1354",109.09375
"1355",109.09375
"1356",97
"1357",97
"1358",97
"1359",97
"1360",97
"1361",97
"1362",97
"1363",97
"1364",97
"1365",97
"1366",97
"1367",97
"1368",97
"1369",97
"1370",97
"1371",97
"1372",97
"1373",97
"1374",97
"1375",97
"1376",97
"1377",97
"1378",97
"1379",172
"1380",172
"1381",172
"1382",172
"1383",172
"1384",172
"1385",172
"1386",172
"1387",172
"1388",172
"1389",172
"1390",172
"1391",56.734375
"1392",82.9375
"1393",82.9375
"1394",82.9375
"1395",82.9375
"1396",176.84375
"1397",192.5
"1398",342.5
"1399",216.6875
"1400",111.96875
"1401",164.375
"1402",178.4375
"1403",255.40625
"1404",180.6875
"1405",313.0625
"1406",184.0625
"1407",210.6875
"1408",210.875
"1409",329.5625
