"","influenza_la"
"1652",378
"1653",4690
"1654",8562
"1655",7232
"1656",1370
"1657",164
"1658",3244
"1659",3658
"1660",142
"1661",1692
"1662",3580
"1663",164
"1664",770
"1665",1436
"1666",6862
"1667",576
"1668",40
"1669",2068
"1670",6200
"1671",2432
"1672",1918
"1673",5100
"1674",4632
"1675",1836
"1676",626
"1677",142
"1678",1352
"1679",910
"1680",40
"1681",672
"1682",770
"1683",2744
"1684",2010
"1685",770
"1686",4922
"1687",1352
"1688",1504
"1689",626
"1690",68
"1691",68
"1692",770
"1693",1064
"1694",164
"1695",164
"1696",4508
"1697",5080
"1698",634
"1699",3596
"1700",1692
"1701",92
"1702",218
"1703",1692
"1704",1406
"1705",4410
"1706",164
"1707",218
"1708",536
"1709",164
"1710",770
"1711",576
"1712",92
"1713",626
"1714",1372
"1715",1836
"1716",1574
"1717",3658
"1718",40
"1719",1662
"1720",770
"1721",4364
"1722",626
"1723",3688
"1724",626
"1725",2890
"1726",164
"1727",2440
"1728",164
"1729",5030
"1730",626
"1731",378
"1732",378
"1733",92
"1734",626
"1735",1556
"1736",378
"1737",770
"1738",770
"1739",142
"1740",92
"1741",218
"1742",770
"1743",6728
"1744",218
"1745",626
"1746",626
"1747",576
"1748",3598
"1749",2648
"1750",1692
"1751",2774
"1752",3316
"1753",4508
"1754",8760
"1755",6378
"1756",1150
"1757",7076
"1758",770
"1759",770
"1760",92
"1761",1444
"1762",1262
"1763",808
"1764",634
"1765",626
"1766",142
"1767",1372
"1768",1836
"1769",626
"1770",576
"1771",378
"1772",3534
"1773",1692
"1774",1352
"1775",164
"1776",770
"1777",164
"1778",576
"1779",626
"1780",462
"1781",164
"1782",1150
"1783",626
"1784",3576
"1785",8
"1786",770
"1787",1692
"1788",770
"1789",2584
"1790",728
"1791",634
"1792",626
"1793",626
"1794",2440
"1795",770
"1796",626
"1797",2330
"1798",164
"1799",2058
"1800",2528
"1801",770
"1802",686
"1803",1262
"1804",1322
"1805",770
"1806",770
"1807",1194
"1808",6764
"1809",770
"1810",6992
