"","influenza_sub"
"1197",78001279332811648
"1198",78001279332811648
"1199",78001279332811648
"1200",78001279332811648
"1201",1378461843772889088
"1202",78001279332811648
"1203",11880343800410089472
"1204",78001279332811648
"1205",11503126512278407168
"1206",78001279332811648
"1207",103048244699778080
"1208",860962569148948224
"1209",14490357667070937088
"1210",103048244699778080
"1211",25099399321313529856
"1212",20810380853598121984
"1213",8287141426695246848
"1214",18590461140264824832
"1215",8287141426695246848
"1216",10971293316851761152
"1217",98513562270935859200
"1218",83218955426799222784
"1219",71565813564400910336
"1220",8287141426695246848
"1221",8287141426695246848
"1222",1264578029332944640
"1223",1264578029332944640
"1224",3998783655714371072
"1225",3998783655714371072
"1226",1264578029332944640
"1227",11479443732486445056
"1228",1264578029332944640
"1229",1264578029332944640
"1230",9342379632985585664
"1231",2997759762679428096
"1232",1264578029332944640
"1233",1264578029332944640
"1234",44065754101284536320
"1235",1264578029332944640
"1236",57139799196293914624
"1237",5858505129299449856
"1238",6628593138079037440
"1239",1.0238695746933e+20
"1240",1264578029332944640
"1241",25841472703811252224
"1242",57875016390638796800
"1243",41619941741145399296
"1244",65500183316558290944
"1245",1264578029332944640
"1246",2.3687148734627e+19
"1247",1264578029332944640
"1248",30816526211813728256
"1249",77465189765881741312
"1250",6628593138079037440
"1251",2369135815399962112
"1252",1264578029332944640
"1253",1264578029332944640
"1254",65295085248376659978
"1255",1.47499039216691e+20
"1256",1264578029332944640
"1257",18776629314832273408
"1258",56746031586251120640
"1259",26509510462738272256
"1260",4150010551687768064
"1261",1264578029332944640
"1262",1264578029332944640
"1263",1264578029332944640
"1264",1264578029332944640
"1265",1264578029332944640
"1266",1264578029332944640
"1267",1264578029332944640
"1268",1264578029332944640
"1269",1832981398673662720
"1270",1264578029332944640
"1271",1264578029332944640
"1272",6.4819558720646e+19
"1273",21574008267973746688
"1274",916077880737965440
"1275",73749599998427488256
"1276",23798499383221996
