"","influenza_av"
"729",3.0192994996426
"730",3.00285918513224
"731",3.84131522516083
"732",3.03716940671909
"733",3.06361686919228
"734",3.84131522516083
"735",3.84131522516083
"736",2.89349535382416
"737",3.47605432451751
"738",3.48892065761258
"739",3.38456040028592
"740",3.18298784846319
"741",3.90278770550393
"742",3.07576840600429
"743",3.84131522516083
"744",3.84131522516083
"745",3.48892065761258
"746",3.90278770550393
"747",3.29020729092209
"748",3.84131522516083
"749",3.84131522516083
"750",3.39885632594711
"751",3.82201572551823
"752",3.90278770550393
"753",3.84131522516083
"754",3.90278770550393
"755",3.84131522516083
"756",3.50178699070765
"757",3.84131522516083
"758",3.90278770550393
"759",3.84131522516083
"760",3.26733380986419
"761",3.90278770550393
"762",3.36168691922802
"763",3.84131522516083
"764",3.59971408148678
"765",3.04717655468192
"766",3.60400285918513
"767",3.61401000714796
"768",3.03359542530379
"769",3.4639027877055
"770",3.82201572551823
"771",2.84989278055754
"772",2.60328806290207
"773",3.90278770550393
"774",3.50464617583989
"775",3.57398141529664
"776",3.84131522516083
"777",3.57612580414582
"778",3.41815582558971
"779",2.74124374553252
"780",2.99571122230164
"781",3.84131522516083
"782",2.91493924231594
"783",3.73909935668335
"784",3.84131522516083
"785",3.3180843459614
"786",3.4639027877055
"787",2.82987848463188
"788",2.84131522516083
"789",2.78198713366691
"790",3.84131522516083
"791",3.19585418155826
"792",3.08863473909936
"793",3.47819871336669
"794",3.37812723373838
"795",3.30593280914939
"796",3.45532523230879
"797",3.51107934238742
"798",3.83845604002859
"799",3.83845604002859
"800",3.35811293781272
"801",3.90278770550393
"802",3.19299499642602
"803",3.00571837026447
"804",3.4639027877055
"805",3.04932094353109
"806",3.82201572551823
"807",3.61401000714796
"808",3.71551107934239
"809",3.90278770550393
"810",2.68477483917084
"811",3.6783416726233
"812",3.90278770550393
"813",3.33666904932094
"814",3.90278770550393
"815",3.90278770550393
"816",3.69406719085061
"817",2.99785561115082
"818",3.69406719085061
"819",3.63759828448892
"820",3.69406719085061
"821",3.83845604002859
"822",3.56040028591851
"823",3.83845604002859
"824",3.83845604002859
"825",3.83845604002859
"826",3.85346676197284
"827",3.85346676197284
"828",3.3867047891351
"829",3.65761258041458
"830",2.98784846318799
"831",3.09077912794853
"832",2.99928520371694
"833",3.0614724803431
"834",3.07147962830593
"835",3.11436740528949
"836",3.36168691922802
"837",3.16440314510365
"838",2.66904932094353
"839",3.29092208720515
"840",3.55897069335239
"841",2.92137240886347
"842",3.15225160829164
"843",3.20872051465332
"844",3.36168691922802
"845",2.82201572551823
"846",2.87419585418156
"847",3.36168691922802
"848",2.65618298784846
"849",3.75625446747677
"850",3.36168691922802
"851",2.84488920657613
"852",2.47390993566833
"853",3.15368120085776
"854",2.68120085775554
"855",3.44317369549678
"856",2.48177269478199
"857",2.95210864903503
"858",3.59185132237312
"859",3.75625446747677
"860",2.65046461758399
"861",3.14010007147963
"862",3.30307362401716
"863",3.19013581129378
"864",3.59899928520372
"865",3.36168691922802
"866",3.61972837741244
"867",3.09721229449607
"868",3.47319513938528
"869",3.0614724803431
"870",2.69406719085061
"871",2.60829163688349
"872",3.32952108649035
"873",3.75625446747677
"874",3.55682630450322
"875",3.18298784846319
"876",2.93566833452466
"877",3.36168691922802
"878",3.36168691922802
"879",3.41529664045747
"880",2.68406004288778
"881",3.2566118656183
"882",3.35453895639743
"883",3.47319513938528
"884",3.32809149392423
"885",3.14224446032881
"886",2.83845604002859
"887",3.47319513938528
"888",3.28305932809149
"889",3.66047176554682
"890",3.5482487491065
"891",3.36168691922802
"892",3.36168691922802
"893",2.76840600428878
"894",3.55682630450322
"895",3.57040743388134
"896",3.38527519656898
"897",3.36883488205861
"898",3.52466047176555
"899",2.48391708363117
"900",3.75625446747677
"901",3.43674052894925
"902",3.73052180128663
"903",3.43674052894925
"904",3.43674052894925
"905",3.73052180128663
"906",3.60972122944961
"907",3.60972122944961
"908",3.43674052894925
"909",3.73052180128663
"910",3.45032165832738
"911",3.59471050750536
"912",3.73052180128663
"913",3.18656182987848
"914",3.59471050750536
"915",3.46175839885633
"916",3.5325232308792
"917",3.69120800571837
"918",3.73052180128663
"919",3.45032165832738
"920",3.46175839885633
"921",3.60972122944961
"922",3.12080057183703
"923",3.57398141529664
"924",3.45032165832738
"925",3.59471050750536
"926",2.61401000714796
"927",3.26947819871337
"928",2.90421729807005
"929",3.73052180128663
"930",3.60972122944961
